host_timestamp,sensor_datetime_utc,pressure_raw_pa,pressure_hpa,temperature_raw,temperature_c,humidity_raw,relative_humidity_ratio,relative_humidity_pct,humidity_temperature_raw,humidity_temperature_c,longitude_raw,longitude_deg,latitude_raw,latitude_deg,altitude_raw_mm,altitude_m,satellites,adc_1,adc_2,adc_3,adc_4,adc_5,adc_6,adc_7,adc_8,parse_ok,raw_data,raw_hex
2026-08-26T20:18:26.658+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,False,\x00,00
2026-08-26T20:18:27.104+01:00,2015-10-18T01:08:36Z,95180,951.8,2386,23.86,314,0.314,31.4,2475,24.75,0,0.0,0,0.0,-17000,-17.0,0,,,,,,,,,True,"XQ,+095180,+2386,+0314,+2475,2015/10/18,01:08:36,+0000000000,+0000000000,-00017000,00",58 51 2c 2b 30 39 35 31 38 30 2c 2b 32 33 38 36 2c 2b 30 33 31 34 2c 2b 32 34 37 35 2c 32 30 31 35 2f 31 30 2f 31 38 2c 30 31 3a 30 38 3a 33 36 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2d 30 30 30 31 37 30 30 30 2c 30 30
2026-08-26T20:18:28.098+01:00,2015-10-18T01:08:37Z,95181,951.81,2387,23.87,314,0.314,31.4,2474,24.74,0,0.0,0,0.0,-17000,-17.0,0,,,,,,,,,True,"XQ,+095181,+2387,+0314,+2474,2015/10/18,01:08:37,+0000000000,+0000000000,-00017000,00",58 51 2c 2b 30 39 35 31 38 31 2c 2b 32 33 38 37 2c 2b 30 33 31 34 2c 2b 32 34 37 34 2c 32 30 31 35 2f 31 30 2f 31 38 2c 30 31 3a 30 38 3a 33 37 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2d 30 30 30 31 37 30 30 30 2c 30 30
2026-08-26T20:18:29.104+01:00,2015-10-18T01:08:38Z,95176,951.76,2385,23.85,314,0.314,31.4,2474,24.74,0,0.0,0,0.0,-17000,-17.0,0,,,,,,,,,True,"XQ,+095176,+2385,+0314,+2474,2015/10/18,01:08:38,+0000000000,+0000000000,-00017000,00",58 51 2c 2b 30 39 35 31 37 36 2c 2b 32 33 38 35 2c 2b 30 33 31 34 2c 2b 32 34 37 34 2c 32 30 31 35 2f 31 30 2f 31 38 2c 30 31 3a 30 38 3a 33 38 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2d 30 30 30 31 37 30 30 30 2c 30 30
2026-08-26T20:18:30.097+01:00,2015-10-18T01:08:39Z,95179,951.79,2386,23.86,314,0.314,31.4,2475,24.75,0,0.0,0,0.0,-17000,-17.0,0,,,,,,,,,True,"XQ,+095179,+2386,+0314,+2475,2015/10/18,01:08:39,+0000000000,+0000000000,-00017000,00",58 51 2c 2b 30 39 35 31 37 39 2c 2b 32 33 38 36 2c 2b 30 33 31 34 2c 2b 32 34 37 35 2c 32 30 31 35 2f 31 30 2f 31 38 2c 30 31 3a 30 38 3a 33 39 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2d 30 30 30 31 37 30 30 30 2c 30 30
2026-08-26T20:18:31.104+01:00,2015-10-18T01:08:40Z,95178,951.78,2391,23.91,314,0.314,31.4,2475,24.75,0,0.0,0,0.0,-17000,-17.0,0,,,,,,,,,True,"XQ,+095178,+2391,+0314,+2475,2015/10/18,01:08:40,+0000000000,+0000000000,-00017000,00",58 51 2c 2b 30 39 35 31 37 38 2c 2b 32 33 39 31 2c 2b 30 33 31 34 2c 2b 32 34 37 35 2c 32 30 31 35 2f 31 30 2f 31 38 2c 30 31 3a 30 38 3a 34 30 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2d 30 30 30 31 37 30 30 30 2c 30 30
2026-08-26T20:18:32.099+01:00,2015-10-18T01:08:41Z,95179,951.79,2385,23.85,314,0.314,31.4,2472,24.72,0,0.0,0,0.0,-17000,-17.0,0,,,,,,,,,True,"XQ,+095179,+2385,+0314,+2472,2015/10/18,01:08:41,+0000000000,+0000000000,-00017000,00",58 51 2c 2b 30 39 35 31 37 39 2c 2b 32 33 38 35 2c 2b 30 33 31 34 2c 2b 32 34 37 32 2c 32 30 31 35 2f 31 30 2f 31 38 2c 30 31 3a 30 38 3a 34 31 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2d 30 30 30 31 37 30 30 30 2c 30 30
2026-08-26T20:18:33.106+01:00,2015-10-18T01:08:42Z,95179,951.79,2385,23.85,314,0.314,31.4,2474,24.74,0,0.0,0,0.0,-17000,-17.0,0,,,,,,,,,True,"XQ,+095179,+2385,+0314,+2474,2015/10/18,01:08:42,+0000000000,+0000000000,-00017000,00",58 51 2c 2b 30 39 35 31 37 39 2c 2b 32 33 38 35 2c 2b 30 33 31 34 2c 2b 32 34 37 34 2c 32 30 31 35 2f 31 30 2f 31 38 2c 30 31 3a 30 38 3a 34 32 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2d 30 30 30 31 37 30 30 30 2c 30 30
2026-08-26T20:18:34.109+01:00,2015-10-18T01:08:43Z,95174,951.74,2386,23.86,314,0.314,31.4,2472,24.72,0,0.0,0,0.0,-17000,-17.0,0,,,,,,,,,True,"XQ,+095174,+2386,+0314,+2472,2015/10/18,01:08:43,+0000000000,+0000000000,-00017000,00",58 51 2c 2b 30 39 35 31 37 34 2c 2b 32 33 38 36 2c 2b 30 33 31 34 2c 2b 32 34 37 32 2c 32 30 31 35 2f 31 30 2f 31 38 2c 30 31 3a 30 38 3a 34 33 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2d 30 30 30 31 37 30 30 30 2c 30 30
2026-08-26T20:18:35.101+01:00,2015-10-18T01:08:44Z,95174,951.74,2391,23.91,314,0.314,31.4,2475,24.75,0,0.0,0,0.0,-17000,-17.0,0,,,,,,,,,True,"XQ,+095174,+2391,+0314,+2475,2015/10/18,01:08:44,+0000000000,+0000000000,-00017000,00",58 51 2c 2b 30 39 35 31 37 34 2c 2b 32 33 39 31 2c 2b 30 33 31 34 2c 2b 32 34 37 35 2c 32 30 31 35 2f 31 30 2f 31 38 2c 30 31 3a 30 38 3a 34 34 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2b 30 30 30 30 30 30 30 30 30 30 2c 2d 30 30 30 31 37 30 30 30 2c 30 30
